Name,Uniqueness,Completeness,Is a Sequence,Key Check,Rare Formats,Rare Values,Frequent Values,Short Values,Long Values,Missing Values,Negative Values,Low Amounts,High Amounts,Alphanumeric Completeness,Integer Completeness,Decimal Completeness,Date Completeness,Money Completeness,Format Count,Null Count,Minimum,Maximum,Least Common Value,Most Common Value,Minimum Length,Maximum Length
Transaction Unique Identifier,100%,100%,,Key,,,,,,,,,,100%,0%,0%,0%,0%,"19,678,984",0,{000000AC-478E-47B3-9B71-7C1E9BB1FEB8},{FFFFFE71-D9FC-4232-AD14-819C838EB3D6},{000000AC-478E-47B3-9B71-7C1E9BB1FEB8},{000000AC-478E-47B3-9B71-7C1E9BB1FEB8},38,38
Price,0.75%,100%,,,Rare Formats,,Frequent,Short Values,Long Values,,,,High,0%,100%,0%,0%,0%,8,0,1,98250000,20,250000,1,8
Date Of Transfer,0.04%,100%,,,Rare Formats,Rare Values,Frequent,,,,,,,0%,0%,0%,100%,0%,1,0,01-Jan-1995,30-Jun-2016,26-Dec-1997,31-Mar-2016,11,11
Postcode,5.57%,99.9%,,,Rare Formats,,Frequent,,,Missing Values,,,,100%,0%,0%,0%,0%,8,"21,957",AL10 0AB,YO90 1WR,AL1 1DD,TR8 4LX,6,8
Property Type,0.01%,100%,,,,,,,,,,,,100%,0%,0%,0%,0%,1,0,D,T,O,T,1,1
Old New,0.01%,100%,,,,,,,,,,,,100%,0%,0%,0%,0%,1,0,N,Y,Y,N,1,1
Duration,0.01%,100%,,,,Rare Values,,,,,,,,100%,0%,0%,0%,0%,1,0,F,U,U,F,1,1
Paon,1.87%,99.98%,,,Rare Formats,,Frequent,,Long Values,Missing Values,,,High,100%,100%,1%,0%,0%,"12,909","4,250",-,ZYTEK HOUSE,1353,2,1,85
Saon,0.16%,11.25%,,,Rare Formats,,Frequent,,Long Values,,,,,100%,100%,1%,0%,0%,"3,720","19,041,175",(ADAMS),ZONE B,371,FLAT 2,1,45
Street,1.4%,98.53%,,,Rare Formats,,Frequent,Short Values,Long Values,Missing Values,,,,100%,1%,0%,0%,0%,"2,254","315,639",10TH AVENUE,ZYBURN COURT,16,HIGH STREET,2,50
Locality,0.11%,72.89%,,,Rare Formats,Rare Values,Frequent,,Long Values,Missing Values,,,,100%,0%,0%,0%,0%,638,"5,815,957",ABBERLEY,ZOUCH,ABEREIDDY,LONDON,3,35
Town,0.01%,100%,,,Rare Formats,Rare Values,Frequent,,Long Values,,,,,100%,0%,0%,0%,0%,127,0,ABBOTS LANGLEY,YSTRAD MEURIG,KELSO,LONDON,3,22
District,0.01%,100%,,,Rare Formats,Rare Values,Frequent,,Long Values,,,,,100%,0%,0%,0%,0%,113,0,ABERCONWY,YORK,BRYHER,BIRMINGHAM,4,38
County,0.01%,100%,,,Rare Formats,Rare Values,Frequent,,Long Values,,,,,100%,0%,0%,0%,0%,51,0,AVON,YORK,ISLES OF SCILLY,GREATER LONDON,4,28
Ppd Category Type,0.01%,100%,,,,,,,,,,,,100%,0%,0%,0%,0%,1,0,A,B,B,A,1,1
Record Status Monthly File Only,0.01%,100%,,,,,,,,,,,,100%,0%,0%,0%,0%,1,0,A,A,A,A,1,1